term	reading	rank	meaning
かと思うと	カトオモウト	2682	
初	ハツ	2683	first; new
順調	ジュンチョウ	2684	favourable; favorable; doing well; OK; all right
優れる	スグレル	2685	to be better (than); to be superior; to surpass; to excel; to be excellent
誇る	ホコル	2686	to boast of; to be proud of; to take pride in
調整	チョウセイ	2687	adjustment; regulation; coordination; reconciliation; tuning; fixing; tailoring
対処	タイショ	2688	dealing with; coping with
夢を見る	ユメヲミル	2689	
二度	ニド	2690	two times; twice
困難	コンナン	2691	difficulty; hardship; trouble; distress
グループ	グループ	2692	
バランス	バランス	2693	
追加	ツイカ	2694	addition; supplement; appending; appendix
割る	ワル	2695	to divide
雇う	ヤトウ	2696	to employ; to hire; to take on
愛情	アイジョウ	2697	love; affection
がち	ガチ	2698	artistry; good taste; elegance; grace
服装	フクソウ	2699	attire; dress; clothes; clothing; costume; garb
スピード	スピード	2700	
主に	オモニ	2702	mainly; primarily; mostly; largely; chiefly
べく	ベク	2703	
豊か	ユタカ	2704	abundant; plentiful; rich; ample
悩み	ナヤミ	2705	trouble; troubles; worry; distress; sorrows; anguish; agony; problem
棚	タナ	2706	shelf; ledge; rack
あたる	アタル	2707	to be hit; to strike
感じがする	カンジガスル	2708	
を通して	ヲトオシテ	2709	
この手	コノテ	2710	
保証	ホショウ	2711	guarantee; security; assurance; pledge
設置	セッチ	2712	establishment; institution
近所	キンジョ	2713	neighbourhood; neighborhood; vicinity
再開	サイカイ	2714	reopening; resumption; restarting
ぴったり	ピッタリ	2715	tightly; closely
疲れ	ツカレ	2716	tiredness; fatigue
体調	タイチョウ	2717	physical condition; state of health; shape
かなう	カナウ	2718	to come true (of a dream, wish, etc.); to be realized; to be fulfilled; to be granted; to be answered (of a prayer); to be requited (of love)
対する	タイスル	2719	to face (each other); to be facing
どちらも	ドチラモ	2720	both
容易	ヨウイ	2721	easy; simple; plain
できるだけ	デキルダケ	2722	as much as one can; as much as possible; if at all possible
頭から	アタマカラ	2723	
用いる	モチイル	2724	to use; to make use of; to utilize; to utilise
付近	フキン	2725	neighborhood; neighbourhood; vicinity; environs; surrounding area; district
筋	スジ	2726	muscle; tendon; sinew
数字	スウジ	2727	numeral; digit; numeric character
務める	ツトメル	2728	to serve as; to act as; to fill (the position of); to play the role of; to be in charge of; to hold (a position)
追い出す	オイダス	2729	to expel; to drive out
施す	ホドコス	2730	to give (time, money, goods); to donate
叱る	シカル	2731	to scold; to chide; to rebuke; to reprimand
にしておく	ニシテオク	2732	
要素	ヨウソ	2733	component; factor; item (e.g. in list)
安定	アンテイ	2734	stability; steadiness; consistency; equilibrium; balance; composure
およそ	オヨソ	2735	about; roughly; approximately
アメリカ	アメリカ	2736	
場面	バメン	2737	scene; setting; place (where something happens); scenario; case
一種	イッシュ	2738	a kind; a sort; a variety; a species
季節	キセツ	2739	season; time of year
こもる	コモル	2740	to shut oneself in (e.g. one's room); to be confined in; to seclude oneself; to hide away; to stay inside (one's shell)
添える	ソエル	2741	to garnish; to accompany (as a card does a gift)
にもかかわらず	ニモカカワラズ	2742	in spite of; despite; although
風景	フウケイ	2743	scenery; scene; landscape; view; sight
かねる	カネル	2744	to be unable to; to find difficult (unpleasant, awkward, painful) to do
しつこい	シツコイ	2745	insistent; obstinate; persistent; tenacious
新聞	シンブン	2746	newspaper
不明	フメイ	2747	unclear; obscure; indistinct; uncertain; ambiguous
今頃	イマゴロ	2748	about this time; about now
かわいそう	カワイソウ	2749	poor; pitiable; pathetic; pitiful
憎む	ニクム	2750	to hate; to detest
積極的	セッキョクテキ	2751	positive; assertive; active; proactive; aggressive
前回	ゼンカイ	2752	previous time; last time; previous installment; previous instalment; previous session
真の	シンノ	2753	true; real; genuine; proper; utter
成果	セイカ	2754	(good) result; outcome; fruits (of one's labors); product; accomplishment
に従って	ニシタガッテ	2755	in accordance with; according to; as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)
収める	オサメル	2756	to put (into); to put away (in); to put back (in); to keep (in); to store (in); to restore (to its place)
必要とする	ヒツヨウトスル	2757	
保護	ホゴ	2758	protection; safeguard; guardianship; custody; patronage
成立	セイリツ	2759	formation; establishment; materialization; coming into existence
日本人	ニホンジン	2760	Japanese person
下す	クダス	2761	to make a decision; to draw a conclusion
申し上げる	モウシアゲル	2762	to say; to tell; to state; to express; to offer; to extend (greetings, congratulations, etc.)
あちら	アチラ	2763	that way; that direction; over there; yonder
評判	ヒョウバン	2764	reputation; (public) estimation; popularity
一面	イチメン	2765	one face; one surface
関係者	カンケイシャ	2766	person concerned; people involved (in an event); those concerned; staff
ふさわしい	フサワシイ	2767	appropriate; adequate; suitable; fitting; worthy
個人的	コジンテキ	2768	personal; individual; private
うそ	ウソ	2769	lie; fib; falsehood; untruth
生かす	イカス	2770	to make (the best) use of; to put to good use; to leverage (skills, attributes, experience, etc.); to capitalise on (experience, etc.)
いつから	イツカラ	2771	
入り込む	ハイリコム	2772	to go into; to come into; to penetrate; to get in; to step in (a house)
年上	トシウエ	2773	older; senior
最終的	サイシュウテキ	2774	final; eventual; ultimate
拒否	キョヒ	2775	refusal; rejection; denial; veto
セット	セット	2776	
家庭	カテイ	2777	home; household; family; hearth
明確	メイカク	2778	clear; precise; definite; distinct
特定	トクテイ	2779	specific; particular; designated; special
出てくる	デテクル	2780	
はるか	ハルカ	2781	far away; far off; far; distant; in the distance
そういうもの	ソウイウモノ	2782	
決断	ケツダン	2783	decision; determination
欠ける	カケル	2784	to chip; to be chipped; to break (off); to be damaged
地位	チイ	2785	(social) position; status; standing
想定	ソウテイ	2786	hypothesis; supposition; assumption; expectation; anticipation
歓迎	カンゲイ	2787	welcome; (warm) reception
曲がる	マガル	2788	to bend; to curve; to warp; to wind; to twist
たって	タッテ	2789	even if; even though
表面	ヒョウメン	2790	surface; face
不足	フソク	2791	insufficiency; deficiency; shortage; lack; scarcity; deficit
でないと	デナイト	2792	without; but if; otherwise; or else
２つ	フタツ	2793	two
近づける	チカヅケル	2794	to bring near; to bring close; to let go near
提供	テイキョウ	2795	offer; tender; providing; supplying; making available; donating (blood, organs, etc.)
経過	ケイカ	2796	passage (of time); elapsing; lapse
熱心	ネッシン	2797	zealous; enthusiastic; ardent; fervent; keen; eager
出入り	デイリ	2798	going in and out; entering and exiting
処分	ショブン	2799	disposal; throwing away; selling off
載る	ノル	2800	to be placed on; to be set on; to be piled on; to be loaded on
下	カ	2801	below; down; under; younger (e.g. daughter)
載せる	ノセル	2803	to place on (something)
規模	キボ	2804	scale; scope; plan; structure
意味がある	イミガアル	2805	
つまる	ツマル	2806	to be packed (with); to be filled; to be full (e.g. of a schedule)
詳細	ショウサイ	2807	details; particulars; specifics
何回	ナンカイ	2808	how many times
うる	ウル	2809	to be able to ...; can ...
地域	チイキ	2810	area; region; district; locality
好む	コノム	2811	to like; to prefer
悲しむ	カナシム	2812	to be sad; to mourn for; to regret
よす	ヨス	2813	to stop (doing); to cease; to desist; to drop; to lay off; to give up; to quit
始まり	ハジマリ	2814	origin; beginning; start
親子	オヤコ	2815	parent and child
皮	カワ	2816	skin; hide; pelt; fur
備える	ソナエル	2817	to furnish with; to equip with; to provide; to install
持ち込む	モチコム	2818	to bring in; to take in; to carry in
成績	セイセキ	2819	results; record; grades; marks
指定	シテイ	2820	designation; specification; assignment; appointment; pointing at
頼み	タノミ	2821	request; favor; favour
中には	ナカニハ	2822	
一見	イッケン	2823	look; glimpse; glance
固める	カタメル	2824	to harden; to freeze; to strengthen; to solidify; to make (a fist); to tramp down (snow, dirt)
この中	コノナカ	2825	among these; between these; of these
地方	チホウ	2826	district; region; area; locality
世界中	セカイジュウ	2827	around the world; throughout the world
念のため	ネンノタメ	2828	just to make sure; just to be sure; for confirmation
大事にする	ダイジニスル	2829	
義務	ギム	2830	duty; obligation; responsibility
世話	セワ	2831	care; looking after; help; assistance; aid
肝心	カンジン	2832	essential; important; crucial; vital; main
見に行く	ミニイク	2833	
塗る	ヌル	2834	to paint; to spread; to plaster; to apply (cream, lotion); to smear; to lacquer; to varnish; to put up (wallpaper)
なしに	ナシニ	2835	
うっかり	ウッカリ	2836	carelessly; thoughtlessly; inadvertently
対抗	タイコウ	2837	opposition; rivalry; competition; antagonism
本格的	ホンカクテキ	2838	genuine; real; authentic; standard; orthodox
身につける	ミニツケル	2839	to learn; to acquire knowledge
模様	モヨウ	2840	pattern; figure; design
おしまい	オシマイ	2841	the end; closing; being done for
発展	ハッテン	2842	development; growth; expansion; extension; flourishing
キロ	キロ	2843	forked road; crossroads
記す	シルス	2844	to write down; to note down; to jot down; to take a note of
作り	ツクリ	2845	making; producing; manufacturing; building; construction; make; structure
ところから	トコロカラ	2846	
性質	セイシツ	2847	nature (of a person); disposition; temperament; character
どうしたらいい	ドウシタライイ	2848	
慰める	ナグサメル	2849	to comfort; to console; to amuse
いざ	イザ	2850	
分かれる	ワカレル	2851	to branch; to fork; to diverge
代わり	カワリ	2852	substitute; replacement; substituting; replacing
出会い	デアイ	2853	meeting; rendezvous; encounter
座	ザ	2854	seat; place
入り	イリ	2855	entering; entrance; entry
出身	シュッシン	2856	one's origin (e.g. city, country, parentage, school)
案	アン	2857	idea; plan; proposal; suggestion; (government) bill
当初	トウショ	2858	beginning; start; outset
実現	ジツゲン	2859	implementation (e.g. of a system); materialization; materialisation; realization; realisation; actualization; actualisation
文化	ブンカ	2860	culture; civilization; civilisation
変わり	カワリ	2861	change; alteration
一定	イッテイ	2862	to fix; to settle; to standardize; to regularize
目に見える	メニミエル	2863	
したる	シタル	2864	
教わる	オソワル	2865	to be taught; to learn; to take lessons in
引き出す	ヒキダス	2866	to pull out; to take out; to draw out
かえって	カエッテ	2867	on the contrary; rather; instead; all the more
指導	シドウ	2868	guidance; leadership; instruction; direction; coaching
深刻	シンコク	2869	serious; severe; grave; acute
一般的	イッパンテキ	2870	general; popular; common; typical
表す	アラワス	2871	to represent; to signify; to stand for
期間	キカン	2872	period; term; interval
じっくり	ジックリ	2873	(slowly and) carefully; without haste; thoroughly; deliberately; closely; meticulously
築く	キズク	2874	to build; to construct; to erect
精神的	セイシンテキ	2875	mental; spiritual; emotional
ほかに	ホカニ	2876	else; in addition; besides
逃す	ノガス	2877	to miss (e.g. a chance); to lose; to let get away
極めて	キワメテ	2878	exceedingly; extremely; decisively
焼ける	ヤケル	2879	to burn; to burn down; to go down in flames
敷く	シク	2880	to spread out (e.g. a futon); to lay out
負担	フタン	2881	burden; load; responsibility
方針	ホウシン	2882	policy; course; plan (of action); principle
小学校	ショウガッコウ	2883	primary school; elementary school; grade school
争い	アラソイ	2884	fight; dispute; feud; conflict; struggle; strife; discord; argument; quarrel; controversy
争う	アラソウ	2885	to compete; to contest; to contend
賛成	サンセイ	2886	approval; agreement; support; favour; favor
経る	ヘル	2887	to pass; to elapse; to go by
姿を見せる	スガタヲミセル	2888	
取り上げる	トリアゲル	2889	to pick up
というものは	トイウモノハ	2890	
尽きる	ツキル	2891	to be used up; to be run out; to be exhausted; to be consumed; to come to an end
新鮮	シンセン	2892	fresh
思い切る	オモイキル	2893	to give up (all thoughts of); to abandon; to despair of
ものなら	モノナラ	2894	
持ち出す	モチダス	2895	to take out; to carry out; to bring out from where it belongs
重大	ジュウダイ	2896	serious; important; significant; grave; weighty
共有	キョウユウ	2897	joint ownership; co-ownership; sharing (e.g. a viewpoint)
勧める	ススメル	2898	to recommend (someone to do); to advise; to encourage; to urge
いいところ	イイトコロ	2899	
暮らし	クラシ	2900	(way of) life; lifestyle; living; life circumstances; livelihood; day-to-day life
日	ニチ	2901	Sunday
外	ガイ	2902	outside ...; beyond ...; not included in ...
大切にする	タイセツニスル	2903	
抗議	コウギ	2904	protest; objection
割	ワリ	2905	rate; ratio; proportion
解釈	カイシャク	2906	interpretation; explanation; reading; construction
夜中	ヨナカ	2907	middle of the night; dead of night
一致	イッチ	2908	agreement; accord; correspondence; consistency; coincidence; match
健康	ケンコウ	2909	health
大いに	オオイニ	2910	very; very much; greatly; considerably; highly; exceedingly; a great deal; a lot; to one's heart's content
その他	ソノホカ	2911	the rest; the others
にやっ	ニヤッ	2912	
余り	アマリ	2913	remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers
社	シャ	2914	hut; house
苦しみ	クルシミ	2915	pain; anguish; distress; suffering; hardship
挑戦	チョウセン	2916	challenge; defiance; dare; attempt; try
何十	ナンジュウ	2917	(several) tens; dozens; scores (of)
建てる	タテル	2918	to build; to construct
高まる	タカマル	2919	to rise; to swell; to intensify; to increase; to grow stronger; to get higher
よく言う	ヨクイウ	2920	
毎年	マイトシ	2921	every year; yearly; annually
歩む	アユム	2922	to walk; to go on foot
根拠	コンキョ	2923	basis; grounds; foundation; reason; authority
よそ	ヨソ	2924	another place; somewhere else; strange parts
数々	カズカズ	2925	many; numerous; various; large number of
午前	ゴゼン	2926	morning; a.m.
高める	タカメル	2927	to raise; to lift; to boost; to enhance
余地	ヨチ	2928	space; room; unused land
来年	ライネン	2929	next year
足る	タル	2930	to be sufficient; to be enough
からには	カラニハ	2931	now that; since; so long as; because
利益	リエキ	2932	profit; gains
つれる	ツレル	2933	to take (someone) with one; to bring along; to go with; to be accompanied by
英語	エイゴ	2934	English (language)
最終	サイシュウ	2935	last; final; closing
中でも	ナカデモ	2936	among (other things); especially; particularly; inter alia; above all (else)
厚い	アツイ	2937	thick; deep; heavy
改める	アラタメル	2938	to change; to alter; to revise; to replace
ケース	ケース	2939	
悪くなる	ワルクナル	2940	
習う	ナラウ	2941	to take lessons in; to be taught; to learn (from a teacher); to study (under a teacher); to get training in
達成	タッセイ	2942	achievement; attainment; accomplishment; realization
前提	ゼンテイ	2943	condition; assumption; prerequisite; hypothesis
帰す	カエス	2944	to send (someone) back; to send (someone) home
減らす	ヘラス	2945	to abate; to decrease; to diminish; to shorten
つなぐ	ツナグ	2946	to connect; to link together
分析	ブンセキ	2947	analysis
ともに	トモニ	2948	together; jointly
役立つ	ヤクダツ	2949	to be useful; to be helpful; to serve the purpose
一時的	イチジテキ	2950	temporary; transitory; short-lived
長年	ナガネン	2951	many years; a long time
よくある	ヨクアル	2952	
生涯	ショウガイ	2953	life; lifetime; career
大胆	ダイタン	2954	bold; daring; audacious
こうした	コウシタ	2955	
こだわる	コダワル	2956	to be obsessive (about); to be overly concerned (with); to fuss (over); to worry too much (about); to be picky (about); to be hung up (on); to stick to
共通	キョウツウ	2957	common; shared; mutual
制限	セイゲン	2958	restriction; restraint; limitation; limit
質	シツ	2959	quality; value
多数	タスウ	2960	large number (of); many
さまざま	サマザマ	2961	various; varied; diverse; all sorts of
定める	サダメル	2962	to decide; to determine
外出	ガイシュツ	2963	going out; outing; leaving (one's home, office, etc.)
徹底的	テッテイテキ	2964	thorough; exhaustive; complete
比較的	ヒカクテキ	2965	comparatively; relatively
実際は	ジッサイハ	2966	in fact; as a matter of fact; actually; in reality; to tell the truth
まとまる	マトマル	2967	to find resolution; to be settled; to be agreed on; to be completed
地元	ジモト	2968	home area; home town
恵まれる	メグマレル	2969	to be blessed with; to be rich in; to abound in
経営	ケイエイ	2970	management; administration; operation; running (a business); conducting
中止	チュウシ	2971	interruption; discontinuance; suspension; stoppage
検討	ケントウ	2972	consideration; examination; investigation; study; scrutiny; discussion; analysis; review
働き	ハタラキ	2973	work; labor; labour
引き上げる	ヒキアゲル	2974	to pull up; to drag up; to lift up
提出	テイシュツ	2975	presentation (of documents); submission (of an application, report, etc.); production (e.g. of evidence); introduction (e.g. of a bill); filing; turning in
非難	ヒナン	2976	criticism; blame; censure; attack; reproach
数年	スウネン	2977	several years; a few years
だく	ダク	2978	to hold in one's arms (e.g. a baby); to embrace; to hug
よくなる	ヨクナル	2979	
強める	ツヨメル	2980	to strengthen; to emphasize; to emphasise
専門	センモン	2981	speciality; specialty; special subject of study; area of expertise; (one's) field; (one's) major
海外	カイガイ	2982	foreign; abroad; overseas
向け	ムケ	2983	intended for ...; oriented towards ...; aimed at ...
行方	ユクエ	2984	(one's) whereabouts
傾向	ケイコウ	2985	tendency; trend; inclination
ものにする	モノニスル	2986	
以内	イナイ	2987	within; inside of; less than
はじめ	ハジメ	2988	beginning; start; outset; opening
後半	コウハン	2989	second half; latter half
関連	カンレン	2990	relation; connection; relevance
議論	ギロン	2991	argument; discussion; dispute; controversy
拡大	カクダイ	2992	expansion; extension
設ける	モウケル	2993	to prepare; to provide
努める	ツトメル	2994	to endeavor (to do); to endeavour; to try hard; to work hard; to strive; to make an effort; to exert oneself; to devote oneself; to be committed (to doing)
出席	シュッセキ	2995	attendance; presence; appearance
全国	ゼンコク	2996	the whole country
背景	ハイケイ	2997	background; scenery; backdrop; setting
基準	キジュン	2998	standard; criterion; norm; benchmark; measure; gauge; basis
どのように	ドノヨウニ	2999	how; in what way
思うように	オモウヨウニ	3000	
身近	ミヂカ	3002	near oneself; close to one; familiar
幅	ハバ	3003	width; breadth
強調	キョウチョウ	3004	emphasis; stress; highlighting; underlining; underscoring
見直す	ミナオス	3005	to look at again
占める	シメル	3006	to account for; to make up; to take up
はぁ	ハァ	3007	
あたし	アタシ	3008	I; me
魔法	マホウ	3009	magic; witchcraft; sorcery; spell
頷く	ウナズク	3010	to nod; to bow one's head in assent; to agree
剣	ケン	3011	sword (esp. a large, double-edged one); blade
呟く	ツブヤク	3012	to mutter; to murmur; to grumble
微笑む	ホホエム	3013	to smile
ふふ	フフ	3014	
撫でる	ナデル	3015	to stroke; to caress; to brush gently; to pet; to pat; to rub
貴様	キサマ	3016	
っす	ッス	3017	
キス	キス	3018	to write down; to note down; to jot down; to take a note of
眼	メ	3019	eye; eyeball
屋敷	ヤシキ	3020	residence; estate; grounds; premises; mansion
居る	イル	3021	to be (of animate objects); to exist
美味しい	オイシイ	3022	good(-tasting); nice; delicious; tasty
貴族	キゾク	3023	nobility; aristocracy; peerage
掴む	ツカム	3024	to seize; to catch; to grasp; to grip; to grab; to clutch; to hold; to catch hold of; to lay one's hands on
すいません	スイマセン	3025	
顔を上げる	カオヲアゲル	3026	
戦闘	セントウ	3027	battle; fight; combat
貰う	モラウ	3028	to receive; to take; to accept
騎士	キシ	3029	(medieval) knight
よー	ヨー	3030	
魔	マ	3031	demon; devil; evil spirit; evil influence
軍	グン	3032	army; armed forces; troops
魔力	マリョク	3033	magical powers; supernatural powers; spell; charm
撃つ	ウツ	3034	to shoot (a gun, person, etc.); to fire
王子	オウジ	3035	prince
ああああ	アアアア	3036	aaah!; oooh!; oh no!; oh boy!
凄い	スゴイ	3037	terrible; dreadful
更に	サラニ	3038	furthermore; again; after all; more and more; moreover; even more
獣	ケモノ	3039	beast; brute; animal
苦笑	クショウ	3040	bitter smile; wry smile; strained laugh; sarcastic laugh
デート	デート	3041	
呆れる	アキレル	3042	to be amazed; to be shocked; to be astonished; to be astounded; to be disgusted; to be exasperated; to be fed up
手を伸ばす	テヲノバス	3043	
己	オノレ	3044	oneself (itself, etc.)
拳	コブシ	3045	fist
指先	ユビサキ	3046	fingertip; finger
漏らす	モラス	3047	to let leak; to let out (e.g. light)
喋る	シャベル	3048	to talk; to chat; to chatter
悪魔	アクマ	3049	devil; demon; fiend
わたくし	ワタクシ	3050	
睨む	ニラム	3051	to glare at; to scowl at; to glower at
声を上げる	コエヲアゲル	3052	
ふむ	フム	3053	to step on; to tread on; to trample on
見開く	ミヒラク	3054	
上手い	ウマイ	3055	skillful; skilful; skilled; good; expert; clever (expression, trick, etc.); apt; appropriate
お兄ちゃん	オニイチャン	3056	
御	ゴ	3057	honorific/polite/humble prefix
お腹	オナカ	3058	belly; abdomen; stomach
何故	ナゼ	3059	why; how; for what reason
溢れる	アフレル	3060	to overflow; to brim over; to flood
見下ろす	ミオロス	3061	to overlook; to command a view of; to look down on
はは	ハハ	3062	
老人	ロウジン	3063	old person; senior citizen; the aged; the elderly
一同	イチドウ	3064	all present; all concerned; all of us
死体	シタイ	3065	dead body; corpse; cadaver; carcass
為	タメ	3066	good; advantage; benefit; welfare
青年	セイネン	3067	youth; young man
学園	ガクエン	3068	educational institution; school; academy; campus
元々	モトモト	3069	originally; from the start; from the beginning; from the outset; by nature
口元	クチモト	3070	
舐める	ナメル	3071	to lick; to lap; to suck
戸惑う	トマドウ	3072	to be bewildered; to be perplexed
お姉ちゃん	オネエチャン	3073	
ママ	ママ	3074	as (it is); remaining (in a state); keeping (the same); leaving (unchanged)
母さん	カアサン	3075	mother
携帯	ケイタイ	3076	carrying (on one's person or in the hand)
音を立てる	オトヲタテル	3077	
ははは	ハハハ	3078	
姫	ヒメ	3079	young lady of noble birth; princess (esp. in Western contexts, tales, etc.)
四人	ヨニン	3080	four people
一撃	イチゲキ	3081	one blow; one hit; one stroke
殿	ドノ	3082	Mr.; Mrs.; Miss; Ms.
ヤツ	ヤツ	3083	fellow; guy; chap
お前ら	オマエラ	3084	
うわっ	ウワッ	3085	
おれ	オレ	3086	I; me
抱きしめる	ダキシメル	3087	
まぁ	マァ	3088	"just (e.g. ""just wait here""); come now; now, now"
気持ちいい	キモチイイ	3089	pleasant (of a sensation); comfortable; nice
ある人	アルヒト	3090	
おおう	オオウ	3091	to cover; to hide; to conceal; to wrap; to disguise
うわあ	ウワア	3092	
わし	ワシ	3093	
うむ	ウム	3094	yes; yeah; uh huh
ねー	ネー	3095	right?; isn't it?; doesn't it?; don't you?; don't you think?
ホント	ホント	3096	truth; reality; actuality; fact
さぁ	サァ	3097	come (on); come now; come along; here
うなずく	ウナズク	3098	to nod; to bow one's head in assent; to agree
くん	クン	3099	
おまえ	オマエ	3100	you
震わせる	フルワセル	3102	
首を振る	クビヲフル	3103	
野郎	ヤロウ	3104	guy; fellow; chap; buddy
肉体	ニクタイ	3105	the body; the flesh; the outer man; one's physique
操る	アヤツル	3106	to operate (e.g. a machine); to handle; to manage; to control; to maneuver; to steer
っち	ッチ	3107	
恐らく	オソラク	3108	probably; (most) likely; in all likelihood; I suspect; I dare say; I'm afraid
想い	オモイ	3109	thought
フッ	フッ	3110	
目を閉じる	メヲトジル	3111	
ポケット	ポケット	3112	
馬車	バシャ	3113	coach (horse-drawn); carriage; wagon; cart
撮る	トル	3114	to take (a photograph)
私達	ワタシタチ	3115	we; us
ええっ	エエッ	3116	
ナイフ	ナイフ	3117	
親父	オヤジ	3118	one's father; one's old man; dad; pops
ヤバい	ヤバイ	3119	dangerous; risky
兵士	ヘイシ	3120	soldier
矢	ヤ	3121	arrow
見回す	ミマワス	3122	
護衛	ゴエイ	3123	guard; convoy; escort
兵	ヘイ	3124	(common) soldier; rank and file
ってば	ッテバ	3125	
首を傾げる	クビヲカシゲル	3126	
酷い	ヒドイ	3127	cruel; heartless; hard; harsh; severe
ちょっ	チョッ	3128	
今更	イマサラ	3129	now (when it is already much too late); at this stage
ドレス	ドレス	3130	
王国	オウコク	3131	kingdom; monarchy
あはは	アハハ	3132	
パパ	パパ	3133	
手を振る	テヲフル	3134	
くそ	クソ	3135	damn; damn it; shit; crap
怯える	オビエル	3136	to become frightened; to be frightened (of); to be scared (of)
飲み込む	ノミコム	3137	to swallow; to gulp down
程	ホド	3138	extent; degree; measure
照れる	テレル	3139	to be shy; to be bashful; to feel awkward; to feel embarrassed
ノック	ノック	3140	
戦場	センジョウ	3141	battlefield; battleground
斬る	キル	3142	to kill (a human) using a blade (sword, machete, knife, etc.); to slice (off); to lop (off); to cut (off)
内心	ナイシン	3143	inner thoughts; real intention; inmost heart; one's mind
脚	アシ	3144	foot; paw; arm (of an octopus, squid, etc.)
技	ワザ	3145	technique; art; skill; move
スカート	スカート	3146	
安堵	アンド	3147	
顎	アゴ	3148	jaw; chin
メール	メール	3149	
最強	サイキョウ	3150	strongest
貴方	アナタ	3151	you
脇	ワキ	3152	armpit; under one's arm; side; flank
人類	ジンルイ	3153	mankind; humanity
お姉さん	オネエサン	3154	older sister; elder sister
囁く	ササヤク	3155	to whisper; to murmur
騙す	ダマス	3156	to trick; to cheat; to deceive; to swindle; to dupe
とやら	トヤラ	3157	
塊	カタマリ	3158	lump; mass; bundle; clump; clod; cluster
呆然	ボウゼン	3159	
チーム	チーム	3160	
お菓子	オカシ	3161	confections; sweets; candy; cake
部隊	ブタイ	3162	force; unit; corps; squad; troops; party
訊く	キク	3163	to ask; to enquire; to query
発動	ハツドウ	3164	putting into operation
呪い	ノロイ	3165	curse; spell; malediction
試合	シアイ	3166	match; game; bout; contest
でしたら	デシタラ	3167	
槍	ヤリ	3168	spear; lance
繋がる	ツナガル	3169	to be connected (to); to be joined together; to be linked; to be tied together; to lead (to)
やれやれ	ヤレヤレ	3170	oh!; ah!; oh dear!; good grief!; dear me!; thank God!
弾く	ヒク	3171	to play (a stringed or keyboard instrument)
僕たち	ボクタチ	3172	we
みたいだ	ミタイダ	3173	
なー	ナー	3174	don't
僕ら	ボクラ	3175	we; us
ええと	エエト	3176	let me see; well; errr ...; uhh ...
気持ちよい	キモチヨイ	3177	pleasant (of a sensation); comfortable; nice
ホントに	ホントニ	3178	really; truly
ていうか	テイウカ	3179	
たしかに	タシカニ	3180	
おはようございます	オハヨウゴザイマス	3181	good morning
おじさん	オジサン	3182	
お前たち	オマエタチ	3183	
奴ら	ヤツラ	3184	they; those guys
ほんとに	ホントニ	3185	really; truly
君たち	キミタチ	3186	you (plural); all of you; you all
ふたり	フタリ	3187	two persons; two people; pair; couple
けれども	ケレドモ	3188	but; however; although
ため息をつく	タメイキヲツク	3189	
がんばる	ガンバル	3190	to persevere; to persist; to keep at it; to hang on; to hold out; to do one's best
つぶやく	ツブヤク	3191	to mutter; to murmur; to grumble
立ち止まる	タチドマル	3192	to stop (in one's tracks); to come to a stop; to halt; to pause; to stand still
ことが出来る	コトガデキル	3193	to be able (to); to be possible (to)
モノ	モノ	3194	person
ハッ	ハッ	3195	
アレ	アレ	3196	that; that thing
お嬢様	オジョウサマ	3197	
ため息	タメイキ	3198	sigh
ぼく	ボク	3199	I; me
かなあ	カナア	3200	I wonder
城	ジョウ	3201	castle
伝説	デンセツ	3202	legend; folklore; tradition
銃	ジュウ	3203	gun; firearm; small arms (e.g. rifle, pistol, etc)
盾	タテ	3204	shield; buckler; escutcheon
駆け寄る	カケヨル	3205	
無数	ムスウ	3206	innumerable; countless; numberless
喧嘩	ケンカ	3207	quarrel; brawl; fight; squabble; scuffle; argument
通路	ツウロ	3208	passage; pathway; roadway; avenue; aisle
父さん	トウサン	3209	father; dad; papa; pa; pop; daddy; dada
天使	テンシ	3210	angel
可愛らしい	カワイラシイ	3211	lovely; sweet; pretty; cute; adorable
見渡す	ミワタス	3212	to look out over; to survey (scene); to take an extensive view of
地図	チズ	3213	map; atlas; chart; plan
傍	ソバ	3214	(place) near by; (place) close by; (place) right next to; the side (of something); beside; vicinity; proximity; neighbourhood (neighborhood)
大人しい	オトナシイ	3215	gentle; quiet; mild; meek; obedient; docile; well-behaved; tame
揺らす	ユラス	3216	
困惑	コンワク	3217	bewilderment; perplexity; embarrassment; discomfiture; bafflement
隊	タイ	3218	versus; against; vs.; v.
イベント	イベント	3219	
あのね	アノネ	3220	look here; I say; well; I know what; I'll tell you what; just a minute; hold on
吐き出す	ハキダス	3221	to vomit; to spit out
目を向ける	メヲムケル	3222	
昨夜	ユウベ	3223	last night; yesterday evening
刀	カタナ	3224	sword (esp. Japanese single-edged); katana
気持ち悪い	キモチワルイ	3225	unpleasant; revolting; repulsive; gross; disgusting; disturbing; creepy
回収	カイシュウ	3226	collection; recovery; withdrawal; retrieval
室内	シツナイ	3227	indoor; inside the room
脱出	ダッシュツ	3228	escape; getting away (from); getting out (of)
竜	リュウ	3229	dragon (esp. a Chinese dragon)
画面	ガメン	3230	screen (of a TV, computer, etc.)
銀	ギン	3231	silver (Ag)
無茶	ムチャ	3232	absurd; unreasonable; ridiculous
舞う	マウ	3233	to dance (orig. a whirling dance)
